Nombre	email	Password	
Total	"17,068"	107	
Cabecera	"13,160"	92	
Centros poblados y rural disperso	"3,908"	21	
Total	21	1	
Cabecera	12	0	
Centros poblados y rural disperso	9	0	
Total	"2,328"	51	
Cabecera	"1,896"	46	
Centros poblados y rural disperso	433	8	
Total	109	2	
Total	66	2	
Centros poblados y rural disperso	43	1	
Total	754	20	
Cabecera	716	18	
Centros poblados y rural disperso	38	1	
Total	"2,865"	72	
Cabecera	"2,856"	60	
Centros poblados y rural disperso	9	0	
Total	656	12	
Cabecera	488	11	
Centros poblados y rural disperso	168	3	
Total	433	6	
Cabecera	266	5	
Centros poblados y rural disperso	167	4	
Total	355	9	
Cabecera	278	7	
Centros poblados y rural disperso	77	2	
Total	139	3	
Cabecera	97	2	
Centros poblados y rural disperso	42	1	
Total	154	3	
Cabecera	114	3	
